id,datetime,title,companyname,companycode,category,source,rnsnumber,url,body,icbsectorcode,icbsector
17758510,2026-08-27 06:00:06,Halfords Group PLC: Trading update,Halfords Group PLC,HFD,TST,EQS,2389294_en,https://www.londonstockexchange.com/news-article/HFD/halfords-group-plc-trading-update/17758510,,404010,Retailers 
17758339,2026-08-27 06:00:03,Trading Statement,Vertu Motors PLC,VTU,TST,RNS,3242S,https://www.londonstockexchange.com/news-article/VTU/trading-statement/17758339,,404010,Retailers 
17758327,2026-08-27 06:00:03,Sale of Netherlands businesses,Headlam Group PLC,HEAD,DIS,RNS,3162S,https://www.londonstockexchange.com/news-article/HEAD/sale-of-netherlands-businesses/17758327,,404010,Retailers 
17758340,2026-08-27 06:00:03,Transaction in Own Shares,Venture Life Group PLC,VLG,POS,RNS,3241S,https://www.londonstockexchange.com/news-article/VLG/transaction-in-own-shares/17758340,,452010,"Personal Care, Drug and Grocery Stores "
