id,datetime,title,companyname,companycode,category,source,rnsnumber,url,body,icbsectorcode,icbsector
17754069,2026-08-25 06:00:03,Transaction in Own Shares,Kingfisher PLC,KGF,POS,RNS,9572R,https://www.londonstockexchange.com/news-article/KGF/transaction-in-own-shares/17754069,,404010,Retailers 
17754052,2026-08-25 06:00:01,Transaction in Own Shares,Venture Life Group PLC,VLG,POS,RNS,9451R,https://www.londonstockexchange.com/news-article/VLG/transaction-in-own-shares/17754052,,452010,"Personal Care, Drug and Grocery Stores "
17754053,2026-08-25 06:00:01,Transaction in Own Shares,Currys PLC,CURY,POS,RNS,9492R,https://www.londonstockexchange.com/news-article/CURY/transaction-in-own-shares/17754053,,404010,Retailers 
